describing,observing,acting,nonreactivity,nonjudging,attention,clarity,repair,brooding,worry,wellbeing,gad
13,14,19,6,15,23,20,21,18,19,64,13
15,6,15,13,12,24,20,15,14,30,72,7
14,14,16,17,11,31,27,26,15,30,59,11
10,10,18,18,18,27,18,20,16,29,62,13
10,14,15,14,16,21,24,14,8,27,78,5
21,15,18,14,14,30,26,23,10,23,78,4
25,19,25,11,23,18,29,36,5,11.4,91,5
19,12,25,13,13,25,19,24,10,30,71,6
19,13,17,12,11,30,32,20,16,37.7,50,19
24,12,23,16,14,25,35,36,10,16,96,5
24,9,16,11,12,35,36,40,9,33,78,5
19,17,19,11,14,30,24,26,13,20,75,7
18,19,14,14,15,23,25,24,10,21,81,6
16,11,17,9,17,27,24,21,17,31,69,20
13,15,22,17,16,22,21,27,11,40,70,7
21,14,23,14,18,28,27,29,7,18,96,6
15,13,22,10,15,33,28,25,10,26,65,13
7,8,16,10,12,32,17,25,14,27,63,10
17,6,7.5,8.8,7.5,35,40,26,19,40,58,21
22,12,20,18,6,23,36,22,14,31,89,15
13,12,16,13,11,29,21,16,18,31,60,17
8,13,19,7,13,22,13,16,16,32,47,13
14,12,14,11,17,29,9,11,18,36,58,14
24,13,18,16,14,37,17,30,13,28,75,6
21,19,19,16,11,38,32,22,10,38,65,5
12,11,22,10,10,28,20,27,14,29,72,15
15,9,22,15,10,28,21,26,12,28,67,7
21,4,12,14,8,36,32,12,12,39,60,19
19,19,9,20,7,30,33,39,16,18,75,8
24,13,23,16,15,31,34,28,13,15,71,4
21,17,24,8,11,39,34,21,19,32,73,19
20,10,25,5,6,40,32,23,20,33,94,13
22,15,16,15,14,20,23,22,12,29,74,8
25,17,23,14,14,27,32,19,15,28,62,16
17,19,13,13,13,25.1,24,18,13,29,68,16
23,9,20,17.5,15,19,32,31,9,12,103,10
23,16,23,14,14,27,27,21,10,27.4,68,4
14,8,14,13,11,26,17,15,16,31,59,16
16,8,25,11,14,25,18.6,32,10,NA,NA,6
13,20,21,5,6,35,27,36,16,40,66,20
19,16,16,16,12,40,29,26,17,30,65,17
18,18,16,13,10,24,28,23,12,26,75,19
13,13,21,11,10,34,16,24,17,31,62,8
19,15,22,12,14,23,33.1,26,9,23,81,8
13,14,20,10,12,24,24,25,12,23,85,5
22,13,12,12,16,19,30,20,15,38,73,18
16.6,9,16,8,18,28,21,18,18,32,66,21
16,12,14,15,12,25,22,16,18,37,59,16
12,13,20,16,11,29,23,23,13,23,57,15
17,14,20,10,15,26,28,25,9,28.6,70,12
21,16,21,10,8,23,32,20,15,34,87,16
20,12,21,12,12,25,27,22,12,26,63,11
17,11,19,9,18,25,34,33,12,12,79,4
13,8,20,10,13,24,22,18,10,26,67,14
11,13,12,18,13,35,18.3,18,17,40,37,19
12,11,19,11,17,34,25,21,11,31,43,12
16,10,20,15,18,22,21,28,9,19,74,5
14,14,18,8,10,32,19,16,15,31,54,13
19,16,19,14,11,35,27,24,9,23,86,13
15,11,17,13.7,10,31,28,23,14,31,73,10
21,17,16,13,11,32,40,26,16,33,63,12
14,20,21,11,15,24,20,19,10,28,67,9
18,13,19,15,11,26.3,22,21,10,19,75,12
16,9,20,10,10,28,24,25,18,35,82,10
21,19,17,7,15,23,26,34,11,19,89,6
20,14.67,18,14,19,22,31,28.57,7,31,79,14
