ppt,group,score,age,gender
1,High,0,33,1
5,VeryLow,0,42,2
6,VeryLow,0,33,1
8,High,0,38,2
9,Low,0.3333333329999999,38,1
13,High,1.333333334,24,1
16,Low,0,23,2
17,Low,0,28,1
20,High,0,34,1
21,VeryLow,-1,30,1
22,High,0,32,2
26,VeryLow,-0.6666666670000001,37,2
27,Low,0,33,1
28,Low,0,29,1
31,VeryLow,0,40,1
32,Low,-0.3333333329999999,27,2
34,Low,1,34,2
36,VeryLow,-0.6666666670000001,32,1
39,High,0.3333333329999999,37,2
40,VeryLow,0,57,1
41,VeryLow,0,41,2
42,Low,-0.3333333329999999,44,1
45,High,0,54,2
48,VeryLow,0.6666666670000001,33,2
50,VeryLow,0,30,1
52,Low,0,30,1
55,Low,0.3333333329999999,43,2
56,Low,-0.3333333340000002,29,2
57,Low,0.3333333340000002,38,1
59,High,0.3333333329999999,30,2
61,VeryLow,0,55,1
62,High,0,38,2
64,Low,0,33,2
66,VeryLow,0.6666666669999999,26,1
67,High,0.9999999999999998,30,2
69,VeryLow,0,46,2
70,VeryLow,-1.666666667,34,2
74,Low,0,51,2
75,VeryLow,0,23,1
81,Low,0.3333333329999999,37,1
82,High,0,34,1
86,VeryLow,0.33333333399999976,48,1
87,High,0,54,2
98,High,0,35,1
99,Low,0,32,2
100,High,-0.6666666660000002,40,2
102,High,-0.6666666669999999,29,1
103,Low,0,33,1
104,VeryLow,0,27,2
108,Low,0,28,2
109,Low,0.3333333329999999,28,1
110,High,0,40,2
111,VeryLow,-0.33333333399999976,27,1
113,VeryLow,0,36,2
114,VeryLow,-1,22,2
116,VeryLow,0,43,1
122,High,0,32,2
123,Low,0.6666666669999999,26,2
125,VeryLow,-0.3333333329999999,33,2
128,VeryLow,0,27,2
131,High,0.6666666670000001,61,2
133,VeryLow,0,33,1
134,Low,0.3333333329999999,64,1
136,Low,0,21,1
140,High,-0.3333333329999999,38,1
142,High,-0.3333333329999999,69,2
143,High,0.3333333340000002,25,1
144,Low,0,24,3
146,Low,0,29,1
147,High,0,36,2
148,High,0,44,2
151,Low,0,30,2
153,High,0,34,1
154,VeryLow,-1.6666666669999999,34,1
157,VeryLow,-0.33333333399999976,35,1
159,High,0,37,2
160,Low,0,24,2
163,High,0,64,2
164,Low,0,35,1
166,VeryLow,0,43,2
167,High,0,52,2
168,Low,0,43,1
169,VeryLow,-0.3333333329999999,52,2
170,High,-0.3333333329999999,29,2
172,High,0.3333333329999999,29,2
174,High,-0.6666666669999999,51,1
176,Low,0,60,2
178,VeryLow,-1,24,2
180,High,0,32,2
181,VeryLow,-3,27,1
183,Low,0.3333333329999999,27,1
184,VeryLow,0,33,2
186,VeryLow,0,33,2
191,High,0.6666666670000001,22,2
192,VeryLow,0,33,1
193,High,1,25,2
194,Low,0,66,2
199,High,0,26,2
202,VeryLow,0,49,3
204,Low,0,33,2
205,Low,0,29,1
208,High,0,26,2
211,VeryLow,0,24,1
213,Low,0,47,1
215,High,0,27,1
217,Low,0,54,1
218,High,0,31,2
220,High,0,47,2
222,High,-0.3333333329999999,37,1
223,High,0.3333333329999999,33,1
224,VeryLow,-0.3333333340000002,38,1
225,High,0.6666666670000001,27,2
231,Low,0,21,1
