objection,exchange,time,id
no_objection,social,6,1
objection,functional,7,2
objection,functional,3,3
no_objection,functional,4,4
no_objection,functional,4,5
objection,functional,12,6
no_objection,social,7,7
no_objection,functional,2,8
objection,social,0,9
objection,social,4,10
no_objection,social,3,11
objection,functional,12,12
no_objection,functional,4,13
no_objection,functional,4,14
no_objection,social,5,15
no_objection,social,9,16
objection,social,4,17
objection,functional,13,18
no_objection,functional,2,19
no_objection,social,5,20
objection,social,6,21
objection,social,0,22
no_objection,social,4,23
no_objection,functional,4,24
objection,functional,45,25
no_objection,social,6,26
no_objection,functional,4,27
objection,social,5,28
objection,functional,7,29
no_objection,social,7,30
no_objection,social,4,31
no_objection,functional,3,32
no_objection,social,4,33
objection,social,2,34
objection,social,10,35
objection,functional,5,36
no_objection,social,10,37
no_objection,functional,5,38
objection,social,15,39
no_objection,social,3,40
no_objection,functional,11,41
no_objection,social,3,42
objection,social,3,43
objection,social,5,44
objection,social,11,45
no_objection,social,6,46
no_objection,functional,2,47
objection,functional,8,48
no_objection,social,3,49
objection,social,5,50
objection,functional,4,51
no_objection,social,8,52
no_objection,functional,3,53
no_objection,functional,3,54
no_objection,functional,3,55
no_objection,social,3,56
objection,social,13,57
objection,functional,3,58
no_objection,social,4,59
objection,functional,51,60
no_objection,social,4,61
objection,functional,6,62
no_objection,functional,3,63
objection,social,12,64
no_objection,functional,6,65
no_objection,functional,10,66
objection,social,4,67
no_objection,social,2,68
objection,functional,25,69
