ppt,age,group,memory
1,31,control,3.0809037
2,22,control,2.800650341
3,26,control,2.635889957
4,26,control,3.649143591
5,24,control,2.924643558
6,33,control,3.222619188
7,19,control,1.913539075
8,18,control,2.63581276
9,18,control,1.545589898
10,19,control,2.03499209
11,19,control,2.134445671
13,27,control,2.562755245
14,27,control,3.024017342
15,21,control,2.431072184
16,31,control,3.160513514
17,29,control,2.243800935
18,31,control,4.495707274
19,39,control,2.63581276
20,24,control,4.240941388
21,20,control,3.117567099
22,27,super_recogniser,5.029909756
23,29,super_recogniser,5.029909756
24,20,super_recogniser,3.502055783
25,27,super_recogniser,4.317697969
26,33,super_recogniser,4.775143869
27,20,super_recogniser,3.649143591
28,19,super_recogniser,3.336782388
29,24,motivated_control,2.08
30,24,motivated_control,4.24
31,25,motivated_control,3.5
32,28,motivated_control,3.5
33,20,motivated_control,3.54
34,24,motivated_control,3.05
35,19,motivated_control,3.1
36,21,motivated_control,3.47
37,19,motivated_control,4.06
38,27,motivated_control,3.69
39,24,motivated_control,2.39
40,30,motivated_control,2.47
41,24,motivated_control,3.02
42,19,motivated_control,2.13
43,24,motivated_control,2.52
44,19,motivated_control,3.23
45,22,motivated_control,3.36
46,19,motivated_control,2.4
47,35,motivated_control,2.48
48,36,motivated_control,3.53
