ppt,group,attitude,trustworthiness,credibility,evaluation
1,not_affected,5.714285714285714,4.428571428571429,4.428571428571429,2.5833333333333335
2,affected,3.142857142857143,4.285714285714286,4.428571428571429,3.25
3,not_affected,5.285714285714286,4.428571428571429,4.428571428571429,2.75
4,not_affected,4.428571428571429,4.642857142857143,3.857142857142857,2.4166666666666665
5,affected,6,6,5.285714285714286,2.3333333333333335
6,not_affected,3.642857142857143,5.5,4.571428571428571,2.5
7,affected,3.142857142857143,4.642857142857143,3.7142857142857144,3.8333333333333335
8,affected,5.642857142857143,4.571428571428571,4,2.8333333333333335
9,not_affected,4.571428571428571,5.428571428571429,5.428571428571429,1.9166666666666667
10,affected,2.2142857142857144,4.428571428571429,3.5714285714285716,3.1666666666666665
11,not_affected,5.285714285714286,4.428571428571429,4.714285714285714,3
12,affected,1.6428571428571428,2.9285714285714284,1.8571428571428572,4.833333333333333
13,affected,3,4.857142857142857,3.4285714285714284,3.3333333333333335
14,affected,3.928571428571429,4.714285714285714,4.428571428571429,3
15,affected,5,4.857142857142857,3.2857142857142856,3.6666666666666665
16,not_affected,5.5,4.857142857142857,3.2857142857142856,4.333333333333333
17,affected,5.5,4,3.7142857142857144,3.9166666666666665
18,affected,4.357142857142857,4.357142857142857,4,3.4166666666666665
19,not_affected,3.928571428571429,3.5,2,3.25
20,affected,4.785714285714286,5.285714285714286,4.571428571428571,2.25
21,affected,3.2857142857142856,4.214285714285714,4.428571428571429,3.4166666666666665
22,not_affected,5.642857142857143,5.357142857142857,4.714285714285714,2.4166666666666665
23,not_affected,5.928571428571429,4.357142857142857,4.714285714285714,3.3333333333333335
24,affected,5.571428571428571,2.857142857142857,1.5714285714285714,4
25,affected,5,5.5,4.285714285714286,2.5833333333333335
26,affected,3.5714285714285716,5.428571428571429,3.857142857142857,2.75
27,not_affected,6,1.7857142857142858,1.7142857142857142,3.8333333333333335
28,affected,4.928571428571429,4.071428571428571,3.142857142857143,2.9166666666666665
29,affected,5.714285714285714,6,4.714285714285714,1.75
30,not_affected,5.571428571428571,5.214285714285714,4.285714285714286,3.1666666666666665
