comfort,mental_health_pre,mental_health_since,wellbeing_since,gender,age,partner,species,loneliness_pre,loneliness_since
46,20,22,16,female,65_70,living_partner,dog,3,3
46,21,22,24,female,18_24,living_partner,dog,4,4
42,25,23,19,female,45_54,living_partner,dog,3,3
47,23,20,24,female,35_44,living_partner,dog,6,4
48,20,19,16,male,18_24,not_living_partner,dog,3,3
48,14,19,20,female,18_24,not_living_partner,dog,5,4
44,16,21,18,female,45_54,living_partner,dog,8,7
45,19,21,20,male,45_54,living_partner,dog,7,7
48,21,17,19,female,45_54,living_partner,dog,3,5
36,30,21,20,male,25_34,not_living_partner,dog,3,5
34,25,25,12,male,55_64,living_partner,dog,3,3
14,21,20,18,male,25_34,living_partner,dog,5,5
24,22,18,15,female,25_34,living_partner,cat,3,3
45,17,20,19,female,35_44,living_partner,dog,6,6
41,18,20,22,female,18_24,not_living_partner,dog,3,6
43,20,22,19,female,45_54,living_partner,dog,5,5
38,23,23,15,female,55_64,living_partner,dog,6,5
40,20,20,17,female,55_64,not_living_partner,dog,3,9
44,23,25,18,male,45_54,living_partner,dog,5,5
40,21,21,16,male,55_64,living_partner,dog,5,4
48,27,24,22,female,55_64,living_partner,dog,6,6
48,19,17,18,female,35_44,living_partner,dog,7,5
48,19,19,16,female,35_44,living_partner,dog,3,7
48,20,19,16,female,55_64,not_living_partner,dog,4,4
46,19,21,11,female,55_64,living_partner,cat,4,4
48,20,20,9,female,45_54,living_partner,dog,3,3
33,25,24,21,female,45_54,not_living_partner,dog,7,7
48,20,21,15,female,45_54,living_partner,cat,3,4
41,22,22,20,female,18_24,not_living_partner,cat,6,6
48,18,22,14,female,45_54,not_living_partner,cat,6,6
30,22,23,15,male,45_54,living_partner,cat,6,7
29,22,22,12,female,45_54,living_partner,dog,3,3
47,19,20,20,female,45_54,not_living_partner,cat,6,6
36,22,20,21,female,45_54,living_partner,cat,6,6
48,22,20,18,female,65_70,living_partner,dog,5,3
44,16,17,27,female,35_44,not_living_partner,cat,9,8
45,15,16,7,female,18_24,not_living_partner,cat,7,7
42,17,17,21,female,18_24,living_partner,dog,4,5
12,16,20,14,female,18_24,living_partner,dog,3,4
48,17,18,19,female,18_24,living_partner,cat,7,7
48,18,19,18,female,25_34,living_partner,cat,3,8
36,19,17,24,female,25_34,not_living_partner,dog,6,6
40,20,20,11,female,55_64,living_partner,cat,4,3
43,23,24,17,female,45_54,not_living_partner,cat,6,6
48,20,17,24,female,45_54,not_living_partner,cat,3,9
48,21,21,20,female,35_44,not_living_partner,dog,6,6
41,20,19,17,male,45_54,living_partner,dog,3,3
35,21,21,17,female,65_70,living_partner,dog,3,3
48,16,19,17,female,70_over,living_partner,dog,8,3
48,15,20,16,female,25_34,living_partner,dog,6,6
34,22,18,33,female,55_64,not_living_partner,dog,4,4
48,23,24,23,female,45_54,not_living_partner,dog,4,5
48,21,21,18,female,55_64,living_partner,dog,3,3
44,28,23,19,female,45_54,living_partner,dog,6,6
48,24,24,19,female,55_64,living_partner,dog,4,7
12,20,21,16,female,18_24,not_living_partner,dog,3,3
48,21,21,14,female,45_54,not_living_partner,dog,3,3
43,22,22,22,female,65_70,living_partner,cat,5,5
40,19,21,20,female,25_34,living_partner,dog,3,6
45,14,14,25,female,25_34,not_living_partner,dog,8,8
12,5,10,14,female,45_54,not_living_partner,horse,3,6
48,18,16,13,female,35_44,living_partner,dog,6,6
12,24,19,7,male,55_64,living_partner,dog,6,6
48,20,19,22,female,55_64,living_partner,dog,6,8
12,21,20,22,female,45_54,not_living_partner,dog,4,5
44,22,18,20,female,55_64,not_living_partner,dog,8,7
48,22,19,22,female,25_34,not_living_partner,cat,7,7
40,22,20,23,female,45_54,living_partner,cat,6,8
48,20,18,25,female,18_24,not_living_partner,dog,5,4
36,22,25,19,female,70_over,not_living_partner,dog,3,6
48,20,20,16,female,35_44,not_living_partner,cat,5,5
39,21,22,16,female,45_54,living_partner,dog,7,6
48,20,20,19,female,55_64,living_partner,cat,3,3
48,22,21,21,female,45_54,living_partner,dog,5,5
46,23,22,19,female,35_44,not_living_partner,cat,6,6
47,21,19,21,female,25_34,not_living_partner,dog,4,5
30,22,22,11,female,70_over,not_living_partner,dog,4,4
45,22,22,12,female,70_over,not_living_partner,dog,4,4
48,25,25,16,female,70_over,living_partner,dog,3,3
48,21,16,30,female,35_44,not_living_partner,dog,9,9
48,19,19,15,male,35_44,living_partner,dog,3,3
47,19,20,22,female,25_34,not_living_partner,dog,6,8
48,18,17,22,female,45_54,living_partner,cat,3,7
47,22,20,12,female,35_44,not_living_partner,dog,6,8
46,21,21,20,female,25_34,not_living_partner,dog,5,9
42,22,21,14,female,45_54,living_partner,dog,3,4
41,21,21,8,male,35_44,living_partner,dog,5,5
48,18,21,21,female,18_24,not_living_partner,dog,3,4
48,24,20,14,female,35_44,living_partner,dog,3,3
43,19,21,24,female,35_44,not_living_partner,dog,4,9
47,19,20,15,female,25_34,not_living_partner,dog,6,5
47,21,22,21,female,35_44,living_partner,dog,4,4
41,15,17,28,female,25_34,not_living_partner,cat,8,7
38,19,19,17,female,35_44,not_living_partner,dog,6,6
48,14,15,20,female,25_34,not_living_partner,dog,4,6
47,24,23,20,female,45_54,living_partner,dog,7,8
41,17,18,12,male,18_24,not_living_partner,dog,5,5
45,23,22,25,male,35_44,not_living_partner,dog,6,6
40,20,23,15,male,70_over,not_living_partner,dog,3,7
47,20,18,15,male,35_44,living_partner,dog,6,6
48,22,22,14,female,45_54,living_partner,dog,3,4
48,17,13,34,male,45_54,living_partner,dog,9,9
46,21,19,20,male,55_64,not_living_partner,cat,7,3
43,20,21,13,male,18_24,not_living_partner,cat,4,4
48,17,18,15,female,45_54,living_partner,dog,6,6
35,19,22,23,male,18_24,not_living_partner,dog,4,6
48,22,22,22,female,55_64,living_partner,dog,3,9
48,21,21,13,female,45_54,not_living_partner,dog,4,4
48,23,24,22,male,25_34,not_living_partner,dog,9,9
48,21,20,11,female,45_54,living_partner,dog,3,5
48,23,21,21,female,35_44,living_partner,dog,4,4
36,22,19,11,male,55_64,not_living_partner,dog,4,4
12,15,15,28,male,25_34,living_partner,dog,3,8
47,20,23,22,male,18_24,not_living_partner,dog,8,9
48,21,21,14,male,55_64,living_partner,dog,6,4
36,22,18,18,female,65_70,living_partner,cat,6,6
48,19,19,11,male,55_64,not_living_partner,dog,5,5
41,22,22,7,male,45_54,living_partner,dog,3,3
38,21,23,21,male,55_64,not_living_partner,cat,9,7
40,15,25,7,another,70_over,not_living_partner,small,6,9
44,20,18,23,female,25_34,living_partner,dog,3,3
48,26,26,16,female,45_54,not_living_partner,dog,6,4
47,22,22,20,female,55_64,living_partner,dog,3,3
48,23,21,14,female,65_70,living_partner,dog,3,4
48,22,19,23,female,70_over,not_living_partner,dog,5,4
48,18,19,19,female,45_54,living_partner,cat,3,8
38,20,19,14,female,55_64,living_partner,dog,5,9
46,21,24,19,female,55_64,not_living_partner,cat,6,8
48,21,20,15,female,70_over,not_living_partner,dog,5,7
34,24,21,12,female,45_54,living_partner,cat,3,4
45,21,20,12,female,70_over,living_partner,dog,3,5
48,20,22,12,female,65_70,not_living_partner,dog,3,3
41,24,23,16,female,55_64,not_living_partner,dog,3,3
48,20,22,12,female,55_64,living_partner,dog,6,3
28,20,21,18,female,65_70,not_living_partner,dog,3,5
45,17,18,17,female,55_64,living_partner,dog,5,7
48,19,21,22,female,35_44,living_partner,dog,3,4
47,20,18,25,female,35_44,living_partner,cat,7,7
48,17,18,20,female,35_44,living_partner,dog,3,3
46,19,20,17,female,35_44,not_living_partner,dog,3,3
48,20,21,22,female,65_70,living_partner,dog,3,9
48,19,20,21,female,55_64,not_living_partner,dog,3,7
31,15,20,19,female,55_64,not_living_partner,cat,6,7
47,22,23,11,male,25_34,living_partner,dog,3,3
45,19,22,21,female,55_64,living_partner,dog,6,8
40,19,19,22,male,45_54,living_partner,dog,4,5
31,21,21,12,female,45_54,living_partner,cat,3,3
48,19,19,18,female,65_70,not_living_partner,dog,4,6
45,25,22,25,male,25_34,not_living_partner,dog,6,9
35,19,20,16,female,25_34,living_partner,reptile,3,9
48,17,19,15,female,35_44,not_living_partner,dog,6,6
47,16,23,20,female,55_64,not_living_partner,dog,4,5
37,14,17,21,female,25_34,living_partner,cat,3,5
47,19,19,20,female,45_54,living_partner,dog,3,3
48,24,23,20,female,55_64,living_partner,dog,5,5
48,14,15,22,female,35_44,not_living_partner,dog,8,8
48,20,19,17,female,35_44,living_partner,dog,3,3
48,20,21,26,female,35_44,living_partner,small,3,9
45,22,22,13,male,65_70,not_living_partner,dog,3,3
46,16,19,22,female,45_54,not_living_partner,small,6,5
