ppt,age,sex,group,baseline_motivation,practice_best_attempt,trial_1,trial_2,trial_3,thoughts_generated
1,33,female,counterfactual,motivated,10,10.63,7.21,13.29,10
2,23,male,control,motivated,6.25,7.58,7.13,7.76,0
3,22,male,prefactual,motivated,3.91,4.13,4.18,4.86,8
4,19,female,counterfactual,motivated,4.63,5.56,3.05,6.43,7
5,32,female,counterfactual,very_motivated,5.16,3.51,6.2,7.55,8
6,19,male,control,motivated,6.96,7.06,7.43,7.16,0
7,18,female,prefactual,motivated,5.11,5.9,11.68,23.76,12
8,19,female,control,motivated,3.46,4.21,10.03,10.55,0
9,23,female,counterfactual,motivated,3.8,4.03,5.23,6.07,2
10,19,female,counterfactual,motivated,2.45,2.51,3.38,3.6,8
11,21,female,counterfactual,motivated,4.93,5.13,8.93,9.6,6
12,18,male,prefactual,motivated,4.05,3.88,6.11,6.46,9
13,24,female,control,motivated,9.33,11.08,11.08,21.48,0
14,24,male,counterfactual,motivated,5.65,9.21,25.55,36.36,9
15,21,female,prefactual,motivated,6.91,16.21,22.66,36.41,7
16,22,female,counterfactual,motivated,25.71,27.18,30.52,40.6,5
17,31,male,prefactual,motivated,5.16,5.48,12.25,16.11,5
18,18,male,prefactual,not_at_all_motivated,4.18,13.81,8.2,17.85,6
19,22,female,control,motivated,6.25,13.76,38.75,36.46,0
20,25,female,prefactual,motivated,5.35,4.31,5.81,6.83,7
21,21,female,control,not_motivated,3.43,3.4,4.08,3.58,0
22,19,female,control,motivated,9.5,5.05,6.66,7.01,0
23,23,female,counterfactual,motivated,12.19,17.21,22.9,28.43,5
24,34,female,prefactual,motivated,7.6,9.73,20.73,27.48,8
25,19,female,counterfactual,motivated,13.82,11.9,17.86,20.9,5
26,22,female,prefactual,motivated,4.1,6.53,7.75,5.31,9
27,22,female,prefactual,motivated,7.11,9.81,12.06,11.6,7
28,23,female,prefactual,motivated,2.81,4.27,5.71,12.14,6
29,40,female,control,motivated,4.96,4.08,5.98,4.56,0
30,20,female,control,motivated,4.28,22.88,14.35,24.65,0
31,24,male,counterfactual,motivated,5.26,6.16,6.56,13.28,8
32,22,male,control,motivated,3.45,6.3,10.43,7.26,0
33,21,female,prefactual,very_motivated,28.71,14.01,13.8,19.33,5
34,21,male,control,very_motivated,5.58,6.33,18.33,13.19,0
35,26,male,counterfactual,motivated,34.06,42.4,48.91,69.16,8
36,20,male,counterfactual,motivated,8.96,14.91,16.04,32.18,5
37,26,female,control,motivated,3.38,4.93,4.25,5.06,0
38,18,female,control,motivated,3.88,4.58,6.78,7.01,0
39,25,female,prefactual,very_motivated,40.45,62.19,63.3,87.08,8
40,25,female,counterfactual,motivated,3.98,3.86,3.35,4.48,6
41,20,female,prefactual,motivated,4.11,3.31,5.68,9.16,9
42,21,female,control,motivated,3.26,2.9,6.01,4.58,0
