age,perabil,cheating,gamesman,commit,conven,task,ego
13.06,43,9,16,22,19,30,28
15.64,34,8,17,20,15,26,27
13.09,27,6,8,23,24,27,18
12.89,26,6,19,23,21,28,19
13.72,39,6,21,24,20,33,23
14.24,36,11,13,19,20,28,21
15.7,36,12,22,19,19,27,25
12.79,39,6,11,25,25,30,8
12.26,45,7,16,21,18,28,21
15.82,41,16,25,20,18,28,21
12.13,33,6,11,18,20,30,18
14.49,34,6,15,18,22,31,28
14.22,35,13,21,22,19,26,18
12.01,26,7,9,19,14,23,13
14.78,39,6,26,20,17,25,30
14.72,45,6,20,21,23,32,30
14.31,37,7,10,21,16,33,27
14.57,34,7,14,19,18,24,18
15.61,48,6,12,25,24,35,14
14.4,41,6,14,18,20,27,22
14.94,46,6,19,23,24,31,22
13.78,46,6,18,22,17,31,26
14.54,41,6,9,24,15,33,20
12.15,34,6,13,23,20,29,24
12.64,35,12,14,18,15,27,23
14.35,31,6,13,22,21,32,22
14.76,31,6,17,20,14,24,23
13.64,30,22,21,20,17,27,20
12.31,34,6,17,24,23,35,29
13.05,33,11,16,22,17,29,25
12.2,38,7,15,22,20,32,21
12.84,32,8,16,21,21,32,31
13.63,31,6,19,21,21,28,24
13.22,38,7,21,20,19,30,25
14.35,32,8,10,23,25,34,30
13.47,28,8,12,18,17,25,21
14.39,40,19,22,21,14,26,28
14.42,31,13,22,18,20,27,26
12.26,36,8,18,22,23,34,15
12.22,36,6,7,23,23,28,16
13.75,39,11,15,21,24,25,20
13.21,37,6,10,21,24,31,14
13.67,28,7,9,20,21,28,15
14.78,34,12,19,21,20,27,21
14.7,40,6,15,25,25,35,22
14.47,40,7,17,25,21,30,14
14.84,45,6,23,25,25,33,21
15.74,37,6,12,23,22,29,18
14.93,29,6,15,20,21,31,18
15.62,45,6,14,24,25,34,16
12.71,44,10,22,23,22,23,34
13.33,38,6,12,19,22,35,25
12.17,32,6,10,18,18,22,17
15.19,33,14,18,21,16,30,29
14.92,30,18,28,20,13,26,22
14.98,34,10,17,18,19,31,24
15.03,40,9,17,17,18,24,18
12.99,44,14,20,22,16,26,25
12.19,42,15,21,22,19,25,26
13.34,36,6,10,24,20,32,19
13.39,39,6,14,24,24,35,28
12.82,45,6,9,23,25,33,21
12.83,31,6,10,23,18,32,16
13.92,49,8,13,21,23,21,21
12.81,37,15,24,18,19,30,15
13.37,32,6,12,19,19,34,31
15.51,42,6,12,20,22,32,29
12.76,23,6,15,17,16,28,23
13.52,42,12,15,20,19,29,31
14.43,46,8,20,23,22,33,31
12.07,36,10,11,21,23,31,18
13.79,27,10,17,17,17,27,25
12.22,35,11,16,18,20,32,17
14.31,45,19,28,16,17,27,28
14.59,45,14,30,22,19,27,25
13.85,29,6,12,24,23,25,17
13.95,29,7,14,17,18,33,27
12.84,46,6,9,24,23,32,29
14.09,40,7,16,22,18,29,26
13.68,49,6,7,25,19,35,25
12.88,30,6,11,17,9,27,18
14.67,35,9,26,19,13,25,27
14.06,37,6,11,21,11,25,23
13.13,27,6,11,19,23,33,21
12.61,25,6,11,19,23,32,24
13.4,38,8,16,18,17,35,35
14.79,36,12,18,17,19,26,23
14.3,40,12,16,20,17,29,19
12.42,35,12,16,18,15,26,22
13.95,32,7,11,21,20,31,28
14.49,39,6,15,20,19,27,23
14.63,39,6,28,23,23,35,24
14.83,33,9,23,21,22,31,24
14.52,40,7,13,22,25,34,24
14.78,32,9,22,22,19,35,20
15.46,37,7,24,22,16,32,31
15.26,46,6,10,22,23,31,29
13.1,42,11,14,25,23,35,31
14.2,42,12,16,22,18,30,25
15.25,45,6,13,24,24,32,30
15.87,41,12,16,20,20,27,23
15.78,44,7,20,24,10,35,33
15.16,38,11,16,21,19,28,19
15.13,35,7,17,22,17,35,29
15.1,36,8,13,20,18,26,22
14.93,45,7,12,24,22,34,32
15.31,47,6,18,24,21,35,22
15.31,45,6,19,25,25,35,30
15.68,35,15,24,20,20,32,30
15.57,40,13,24,22,21,35,29
15.47,31,14,30,20,23,35,33
15.54,33,18,23,22,18,29,27
13.88,36,11,21,21,21,32,21
14.46,45,6,17,20,22,32,33
15.88,38,13,35,21,20,29,25
14.6,42,11,24,23,25,32,27
14,37,19,23,20,19,25,27
13.72,45,8,24,24,25,29,31
14.01,39,20,26,21,21,26,24
15.02,44,17,29,24,22,30,27
14.18,35,19,25,19,24,28,24
13.21,42,6,12,23,21,30,27
15.2,34,12,15,23,18,32,12
15.61,45,6,17,23,19,32,31
12.9,41,6,16,25,25,32,26
13.78,41,14,24,25,22,29,24
15.66,37,6,18,23,25,35,25
15.84,40,14,25,22,17,28,19
14.02,39,8,11,21,19,33,23
15.07,42,15,30,24,20,30,27
13.82,42,13,22,23,21,29,30
14.81,37,6,21,22,19,25,29
13.81,48,14,32,25,25,35,29
13.69,38,6,22,22,24,30,20
15.39,40,6,12,24,24,35,20
15.41,36,18,20,19,25,31,20
14.85,33,8,16,17,22,30,14
14.71,37,14,20,18,19,29,23
14.83,42,7,24,25,21,28,19
12.94,36,6,7,22,23,29,22
14.05,43,6,21,23,23,32,23
14.57,43,14,30,22,24,35,29
14.57,47,6,11,23,25,34,21
14.76,40,6,9,22,24,34,20
15.35,41,10,12,25,25,30,17
15.2,45,11,24,25,24,35,27
15.1,36,6,24,20,20,34,32
15.86,43,6,8,24,24,35,18
14.15,41,6,14,19,17,28,11
15.34,42,6,15,23,18,31,21
14.5,37,7,14,19,22,28,28
15.82,41,15,20,22,25,35,32
14.66,41,8,22,20,19,33,28
15.34,42,6,21,21,19,29,21
14.99,47,6,16,25,23,33,33
15.78,35,6,23,21,20,28,24
15.67,42,8,28,24,25,27,29
12.86,36,9,18,20,23,28,19
12.54,41,12,16,20,17,26,23
13.47,48,7,27,24,24,33,34
14.11,32,20,22,17,19,24,18
14.32,37,6,25,24,23,34,30
15.68,44,13,24,21,23,30,29
13.48,36,15,18,20,25,31,21
13.85,43,6,12,19,21,27,24
14.99,44,12,16,17,15,26,21
12.39,33,12,14,16,15,24,24
12.85,38,6,11,24,24,34,15
12.67,41,17,27,23,22,31,30
12.2,39,10,16,23,21,30,19
12.76,36,18,17,18,16,28,21
12.23,30,6,11,25,21,31,26
13.65,38,15,18,18,18,30,22
15.57,39,6,12,18,23,34,26
14.59,34,8,21,18,21,26,30
15.16,36,6,12,24,23,34,27
15.84,38,6,9,22,22,35,21
12.5,42,13,16,19,16,35,25
15.61,40,17,28,20,22,32,25
15.53,47,15,21,20,20,30,30
13.72,38,8,18,23,23,34,23
13.69,47,24,28,20,20,35,35
13.82,39,6,8,25,23,35,19
13.2,39,6,16,24,18,27,18
13.52,36,12,20,23,23,35,35
13.43,41,19,28,21,21,26,24
14.47,46,6,12,24,23,34,31
14.7,42,7,14,25,22,35,27
12.18,45,6,11,25,25,34,22
13.71,37,9,23,23,23,34,16
12.92,41,10,23,22,25,30,16
12.22,44,6,20,23,22,33,30
12.97,41,6,16,25,25,34,21
14.64,37,18,24,18,19,31,27
14.56,48,6,17,24,23,35,16
14.22,48,7,13,25,24,35,26
14.85,37,19,23,25,25,30,30
15.37,44,12,26,21,23,30,28
13.96,38,12,25,18,19,29,20
13.68,39,6,11,21,20,25,18
12.08,41,6,14,22,23,35,27
12.16,43,12,19,19,17,29,33
14.22,41,11,14,20,21,28,21
12.26,41,6,13,24,25,26,14
14.22,37,8,9,23,18,32,15
14.88,38,7,19,24,25,34,28
12.88,43,17,20,22,20,30,23
13.96,38,7,19,23,17,33,25
14.09,34,15,21,19,18,31,26
14.19,30,21,25,20,15,27,28
14.78,35,8,31,12,14,24,25
12.45,43,6,10,24,25,34,26
12.12,43,13,29,21,25,35,31
14.1,43,12,20,22,17,29,25
14.6,48,6,13,25,16,35,24
13.34,47,6,16,25,23,35,24
12.14,45,11,19,18,21,30,16
