age,gender,sportype,perabil,cheating,gamesman,commit,conven,task,ego
13.71,1,1,37,9,23,23,23,34,16
14.49,1,0,37,6,14,20,23,31,23
13.78,1,1,36,18,20,21,22,30,23
15.61,1,0,45,6,17,23,19,32,31
12.01,0,0,33,15,23,19,21,27,27
15.26,1,1,46,6,10,22,23,31,29
12.59,1,1,36,22,31,18,13,31,22
13.99,1,1,43,13,26,25,25,33,26
12.84,1,0,32,8,16,21,21,32,31
14.91,0,1,32,10,8,20,21,35,27
15.24,0,1,42,9,26,19,25,30,29
12.86,1,0,36,9,18,20,23,28,19
15.93,1,1,36,15,22,25,16,32,28
14.96,1,1,41,10,23,20,22,34,35
13.96,1,0,38,12,25,18,19,29,20
14.12,0,0,28,8,17,21,17,33,28
12.08,0,1,40,12,19,22,16,32,21
13.86,1,1,40,6,27,23,18,34,28
15.21,1,1,39,8,17,19,17,28,23
13.8,0,1,36,6,12,19,24,29,16
12.82,1,1,26,11,21,20,23,34,27
15.87,1,1,30,10,27,22,17,22,20
13.64,0,0,30,22,21,20,17,27,20
14.02,1,1,45,6,22,25,25,34,34
13.06,0,1,45,6,12,24,23,35,20
13.09,0,0,27,6,8,23,24,27,18
12.04,1,1,49,6,8,24,23,33,34
13.72,1,1,38,8,18,23,23,34,23
13.09,1,1,35,10,16,19,22,29,12
13.22,1,0,41,6,7,22,21,35,29
13.23,1,0,43,6,15,22,24,26,18
15.66,0,1,28,10,16,20,19,27,16
14.66,0,1,35,6,19,23,23,30,21
12.83,0,0,39,8,18,20,19,26,26
14.4,0,0,41,6,14,18,20,27,22
12.55,1,1,44,7,19,23,18,29,31
15.1,0,0,36,6,24,20,20,34,32
12.18,1,1,45,6,11,25,25,34,22
14.76,1,0,31,6,17,20,14,24,23
15.57,1,1,39,6,12,18,23,34,26
15.37,1,1,44,12,26,21,23,30,28
13.03,0,1,35,11,15,21,21,30,24
14.01,1,1,46,11,18,22,25,29,30
14.48,1,1,41,6,12,24,22,33,14
15.09,0,1,31,12,16,21,20,28,21
15.98,1,1,43,10,31,24,23,33,27
13.1,0,0,42,11,14,25,23,35,31
12.26,0,0,45,7,16,21,18,28,21
12.22,0,0,35,11,16,18,20,32,17
12.83,0,0,31,6,10,23,18,32,16
14.59,1,1,43,26,35,23,6,35,31
13.01,1,0,45,6,29,21,22,32,28
14.58,1,0,44,6,18,24,24,35,29
14.92,1,0,30,18,28,20,13,26,22
13.2,0,0,39,6,16,24,18,27,18
13.12,0,1,40,6,10,24,21,34,11
15.79,0,1,46,7,15,25,23,35,15
14.18,1,0,49,6,8,24,25,35,32
12.5,0,0,42,13,16,19,16,35,25
15.35,0,0,23,6,7,17,18,23,15
14.37,0,0,36,10,22,18,7,30,27
12.15,1,0,39,6,9,18,20,28,20
12.21,1,1,42,16,23,19,20,28,27
12.97,1,0,40,13,17,24,23,32,25
15.6,1,1,44,16,25,23,21,30,29
12.79,0,0,39,6,11,25,25,30,8
12.1,1,1,44,10,18,23,23,34,28
13.6,0,0,40,10,11,20,23,28,11
13.68,1,1,39,6,11,21,20,25,18
13.62,1,0,27,6,12,20,19,21,15
12.51,1,1,39,6,14,19,20,25,19
12.94,0,1,36,6,7,22,23,29,22
