age,gender,concern,exaggerate,behaviour,urgency,responsibility,pay,hedonism,nuclear
80,0,2,3,3,4,2,2,2,5
79,0,3,5,3,3,3,4,2,5
25,1,2,2,3,3,1,3,3,2
61,1,1,5,2,3,2,3,3,3
54,0,2,4,4,2,2,4,4,4
51,0,2,4,1,4,1,2,2,4
63,0,4,1,2,5,2,2,1,1
21,0,2,2,2,4,2,2,2,3
49,1,3,2,3,5,4,2,3,1
54,1,3,2,1,2,1,4,3,1
32,1,4,5,2,2,1,2,2,5
23,0,3,2,5,5,5,4,3,3
83,0,1,4,2,4,2,4,3,3
70,0,4,1,3,4,2,2,2,2
61,0,2,3,4,4,2,2,2,2
44,0,1,4,2,2,1,2,2,5
54,1,3,3,2,3,2,1,2,3
49,1,2,2,4,4,3,4,3,2
54,1,1,4,4,4,4,4,2,4
57,0,1,4,2,2,2,2,3,4
35,0,2,4,1,2,1,5,4,4
34,0,2,4,4,4,4,2,1,3
39,0,2,3,3,3,3,4,1,4
68,1,2,5,2,1,1,2,3,2
44,0,1,4,2,2,2,2,2,4
48,0,2,3,2,4,2,2,2,5
38,0,2,4,2,3,2,2,3,3
62,1,3,2,5,5,5,4,4,4
22,0,2,4,3,3,2,3,3,4
73,0,2,2,4,4,3,4,3,1
40,0,1,4,1,1,1,2,1,4
46,1,2,5,2,2,2,5,3,1
29,1,2,3,2,2,1,2,4,4
33,1,2,4,2,2,2,3,2,4
76,1,3,2,2,3,2,2,4,1
68,1,2,3,2,4,2,2,3,1
70,1,2,2,2,2,2,2,3,5
56,1,3,2,5,5,5,5,2,4
61,0,1,5,1,1,1,2,2,4
36,1,1,2,1,1,1,5,3,3
40,0,2,2,2,3,2,2,3,4
47,0,4,1,2,3,3,4,2,3
15,0,2,3,2,2,3,2,3,5
68,0,2,2,2,4,2,2,1,5
25,1,2,2,4,4,2,2,3,4
32,0,2,1,4,2,3,3,2,2
40,0,2,3,2,2,2,2,2,5
37,0,2,3,1,2,1,2,2,4
19,0,1,5,2,2,2,4,4,5
63,1,1,5,4,4,4,4,3,5
27,0,3,3,3,2,3,5,2,4
43,1,3,2,4,4,4,4,4,2
24,0,2,5,2,2,2,2,3,5
21,0,1,4,2,2,3,2,3,3
38,0,2,4,2,3,2,2,4,4
73,1,2,4,2,2,2,3,2,4
75,1,2,3,2,2,3,2,3,2
63,0,1,5,1,1,1,2,2,5
48,0,2,4,2,5,2,4,4,3
44,0,4,1,3,4,2,4,1,5
87,0,2,1,4,3,2,2,3,2
41,0,2,3,2,2,2,3,2,3
27,1,1,4,2,4,2,2,3,3
58,1,3,1,4,5,4,4,5,1
40,0,3,1,4,5,4,5,3,2
19,0,2,4,2,2,2,2,3,5
48,0,1,4,2,2,1,2,3,3
49,1,1,4,1,1,1,2,2,2
16,0,2,4,2,2,2,2,4,2
79,0,2,3,2,2,1,3,1,5
23,1,3,2,4,3,4,5,3,4
72,0,4,5,5,5,5,3,2,5
30,0,3,1,3,3,3,3,3,3
16,0,1,4,1,2,1,2,4,5
52,0,2,2,3,4,2,4,3,2
36,1,2,3,2,2,2,2,4,5
43,0,2,2,1,4,2,2,4,4
53,1,2,5,2,2,2,5,4,2
42,0,2,1,4,4,4,4,2,5
49,0,3,4,3,4,2,4,1,5
27,0,1,3,2,4,2,2,3,2
64,1,2,1,2,4,2,5,1,5
65,1,4,1,5,5,5,5,3,2
66,1,1,5,2,1,1,1,4,2
30,1,1,4,2,2,2,3,3,2
38,0,1,5,1,2,1,1,2,5
35,1,2,2,2,4,3,5,3,2
70,1,1,2,1,1,1,1,4,1
51,1,2,3,3,3,2,5,3,2
67,1,4,4,5,5,5,5,2,1
54,0,1,5,1,1,1,1,1,2
29,0,2,3,2,2,2,5,2,5
36,0,1,4,1,3,2,2,1,4
39,0,2,3,2,4,2,2,3,3
66,1,4,2,1,2,2,5,4,4
35,1,1,5,2,2,2,2,2,3
19,1,2,4,3,3,2,2,4,2
71,1,2,5,2,2,3,3,2,1
66,1,3,2,4,4,4,3,1,2
55,1,3,2,2,2,2,2,5,1
75,1,4,1,2,4,2,5,5,1
63,0,2,2,4,4,2,3,2,5
38,0,2,3,2,3,2,4,3,4
35,0,1,4,2,2,2,4,3,5
23,1,2,2,2,3,2,2,4,4
41,1,2,2,2,2,1,2,2,2
27,0,3,4,2,4,4,4,3,5
17,0,2,1,3,3,3,2,5,3
62,1,2,3,4,5,5,5,3,4
70,0,2,3,2,2,2,4,3,3
34,1,2,2,4,4,3,5,2,2
39,1,1,2,4,1,4,1,5,4
33,1,2,4,2,2,1,4,2,4
68,1,1,2,3,2,2,3,3,5
82,0,3,2,2,2,2,5,4,2
19,0,2,4,2,4,2,3,3,2
32,0,1,5,2,1,1,2,5,3
52,0,3,2,4,4,3,2,3,4
22,0,3,4,4,2,4,4,3,2
52,0,1,5,1,1,1,1,3,5
32,0,1,4,1,5,1,2,3,5
71,1,3,1,5,5,5,4,3,5
62,0,3,2,2,4,2,4,2,2
74,1,1,4,2,2,2,2,2,1
18,1,4,5,2,4,4,4,3,4
