ppt,life_sat,worthwhile,happy,anxious,relationship,physical_health,mental_wellbeing,financial,work,balance,local,health,gender,age_group,marital,education,employment,occupation
797,4,5,3,4,3,7,3,3,5,3,6,very_good,female,45to54,married,degree,full_time,managerial_professional
680,7,9,4,4,10,6,7,9,9,10,9,good_to_bad,male,45to54,single,no_degree,full_time,managerial_professional
396,8,10,9,1,9,6,10,8,9,7,9,good_to_bad,male,25to44,single,degree,full_time,managerial_professional
902,9,8,10,2,9,9,10,8,7,7,9,very_good,female,25to44,single,degree,full_time,managerial_professional
484,8,8,4,4,10,6,10,8,8,7,6,good_to_bad,male,25to44,married,no_degree,full_time,intermediate
301,9,9,8,5,8,7,6,8,7,7,9,very_good,female,25to44,married,degree,part_time,managerial_professional
274,8,7,7,0,9,6,8,6,8,8,8,very_good,male,25to44,married,degree,full_time,managerial_professional
282,8,9,9,1,7,5,7,8,7,9,9,good_to_bad,female,45to54,married,degree,full_time,managerial_professional
612,9,7,4,4,9,7,9,5,8,5,9,very_good,male,25to44,married,degree,full_time,managerial_professional
913,9,5,3,7,10,5,10,8,10,5,7,good_to_bad,female,16to24,single,no_degree,full_time,routine_manual
526,10,10,10,0,9,10,8,9,10,4,8,very_good,male,25to44,married,degree,full_time,managerial_professional
543,8,7,5,7,8,9,9,7,6,5,8,very_good,female,45to54,single,no_degree,full_time,managerial_professional
812,8,8,10,1,9,8,9,10,8,7,8,good_to_bad,male,25to44,single,degree,full_time,intermediate
121,8,8,8,1,10,7,9,7,7,8,10,very_good,female,25to44,married,degree,part_time,managerial_professional
416,7,8,7,1,7,7,7,6,6,7,5,very_good,male,16to24,single,no_degree,full_time,routine_manual
212,8,9,7,6,10,7,7,10,9,9,5,good_to_bad,female,45to54,married,degree,full_time,managerial_professional
186,6,6,4,10,5,7,6,2,0,7,10,good_to_bad,female,45to54,married,no_degree,full_time,routine_manual
422,8,6,8,3,8,8,9,3,4,3,6,very_good,male,25to44,single,degree,full_time,managerial_professional
561,9,9,8,5,8,8,8,8,8,8,5,good_to_bad,female,25to44,married,no_degree,part_time,intermediate
180,8,8,8,0,9,7,8,9,9,7,9,very_good,male,45to54,widowed_divorced_sep,degree,full_time,managerial_professional
203,5,8,5,4,10,9,5,3,5,5,10,very_good,female,45to54,widowed_divorced_sep,no_degree,full_time,routine_manual
772,2,0,5,0,10,5,10,0,0,0,10,good_to_bad,male,25to44,single,no_degree,full_time,intermediate
499,7,8,8,0,8,7,8,7,8,8,7,good_to_bad,male,45to54,married,no_degree,full_time,managerial_professional
954,8,7,9,5,10,8,10,10,6,8,9,very_good,male,45to54,married,no_degree,full_time,managerial_professional
193,9,9,9,0,7,7,9,7,9,7,7,good_to_bad,female,55to64,widowed_divorced_sep,degree,part_time,managerial_professional
665,8,7,7,4,8,8,8,7,6,5,9,very_good,male,45to54,married,degree,full_time,managerial_professional
176,10,8,10,1,10,10,9,9,10,9,10,very_good,male,55to64,widowed_divorced_sep,no_degree,full_time,routine_manual
266,8,7,8,0,5,8,8,5,8,8,9,good_to_bad,male,45to54,widowed_divorced_sep,no_degree,full_time,routine_manual
568,8,8,9,1,10,8,9,8,8,4,8,very_good,male,25to44,widowed_divorced_sep,degree,full_time,intermediate
357,9,8,8,0,8,8,10,9,7,5,8,good_to_bad,male,45to54,married,no_degree,full_time,managerial_professional
646,8,8,7,4,6,6,8,9,8,6,8,good_to_bad,male,25to44,single,no_degree,full_time,managerial_professional
98,7,8,6,6,9,9,8,3,8,8,9,very_good,female,25to44,married,degree,full_time,managerial_professional
790,9,10,8,4,6,7,7,10,9,4,4,very_good,female,25to44,single,degree,full_time,managerial_professional
68,8,5,9,7,9,8,8,8,8,7,8,good_to_bad,female,25to44,married,no_degree,full_time,intermediate
245,8,10,8,3,10,8,10,6,7,10,5,very_good,male,25to44,married,no_degree,full_time,intermediate
878,4,5,4,9,9,8,6,7,6,8,9,very_good,female,45to54,widowed_divorced_sep,degree,part_time,managerial_professional
769,8,7,9,0,9,9,9,9,8,5,9,very_good,female,45to54,married,no_degree,full_time,managerial_professional
375,9,7,8,2,10,7,9,9,7,6,10,good_to_bad,female,25to44,married,no_degree,full_time,intermediate
678,8,8,7,0,10,9,10,8,7,9,9,very_good,male,45to54,married,degree,full_time,managerial_professional
766,8,8,9,2,9,8,9,8,7,8,8,very_good,male,55to64,widowed_divorced_sep,no_degree,full_time,managerial_professional
104,7,9,10,0,8,6,8,4,8,3,7,good_to_bad,female,45to54,married,degree,full_time,managerial_professional
862,6,6,6,5,4,7,7,4,3,9,5,very_good,female,25to44,widowed_divorced_sep,degree,part_time,routine_manual
32,8,7,6,6,5,5,7,6,6,3,7,very_good,male,25to44,single,degree,full_time,managerial_professional
832,7,8,10,0,8,8,10,8,9,10,9,good_to_bad,female,55to64,widowed_divorced_sep,degree,full_time,routine_manual
804,8,8,10,6,10,7,9,8,10,7,8,very_good,female,25to44,married,degree,full_time,managerial_professional
576,6,6,2,9,10,4,10,6,3,2,8,good_to_bad,female,45to54,married,no_degree,full_time,routine_manual
606,6,6,5,5,8,5,6,5,8,10,8,good_to_bad,female,25to44,married,no_degree,part_time,routine_manual
157,9,5,6,7,4,5,6,7,4,3,4,very_good,male,45to54,married,no_degree,full_time,routine_manual
542,4,9,9,0,7,2,6,3,3,2,9,good_to_bad,female,25to44,married,no_degree,full_time,managerial_professional
401,8,9,9,5,10,5,9,9,9,10,8,good_to_bad,male,45to54,married,no_degree,part_time,routine_manual
579,8,5,6,1,8,8,9,5,8,4,7,very_good,male,25to44,single,no_degree,full_time,routine_manual
40,9,10,9,0,10,6,9,8,10,7,7,good_to_bad,male,25to44,married,no_degree,full_time,intermediate
206,7,9,7,6,8,8,7,7,8,9,5,good_to_bad,male,45to54,widowed_divorced_sep,degree,full_time,managerial_professional
658,6,9,4,4,8,7,7,7,5,7,10,good_to_bad,female,45to54,married,degree,part_time,managerial_professional
725,7,8,5,3,8,9,10,1,5,2,0,very_good,male,25to44,married,no_degree,full_time,intermediate
395,9,10,8,7,10,9,10,8,8,5,7,good_to_bad,male,45to54,married,no_degree,full_time,intermediate
800,8,9,9,7,9,5,8,8,9,3,9,very_good,female,25to44,married,degree,part_time,intermediate
551,7,6,6,9,9,8,3,4,2,3,7,good_to_bad,male,25to44,married,no_degree,full_time,intermediate
577,9,9,7,5,9,9,8,8,8,7,7,very_good,female,55to64,married,degree,full_time,managerial_professional
686,6,5,7,4,5,6,6,6,6,4,7,very_good,male,25to44,married,no_degree,full_time,routine_manual
126,9,7,10,0,10,8,10,9,8,5,10,very_good,male,45to54,married,no_degree,full_time,routine_manual
649,4,7,4,5,10,8,7,8,8,8,3,good_to_bad,male,25to44,married,no_degree,full_time,routine_manual
39,9,10,7,2,10,9,9,8,8,9,9,good_to_bad,female,45to54,married,no_degree,part_time,intermediate
29,9,8,9,1,8,7,9,8,7,6,6,very_good,male,25to44,married,no_degree,full_time,managerial_professional
65,8,8,7,3,6,8,8,8,9,5,7,very_good,male,16to24,single,degree,full_time,managerial_professional
283,7,7,8,7,9,9,8,9,7,6,8,very_good,male,45to54,married,degree,full_time,managerial_professional
82,9,9,10,0,10,10,10,8,8,8,10,very_good,female,45to54,widowed_divorced_sep,no_degree,full_time,managerial_professional
299,7,10,8,5,10,10,10,6,7,8,9,very_good,female,25to44,married,degree,part_time,routine_manual
593,8,7,9,0,7,9,10,7,8,4,4,very_good,female,45to54,widowed_divorced_sep,degree,full_time,intermediate
783,10,10,10,0,10,5,9,8,9,10,9,good_to_bad,female,55to64,married,no_degree,part_time,routine_manual
504,5,7,5,5,9,9,9,3,7,3,1,good_to_bad,male,45to54,married,degree,full_time,intermediate
794,6,7,7,8,8,5,10,6,6,8,6,good_to_bad,male,25to44,single,no_degree,full_time,managerial_professional
435,8,10,10,0,10,8,10,5,10,10,10,very_good,female,45to54,widowed_divorced_sep,no_degree,part_time,routine_manual
400,10,10,10,0,10,10,10,5,7,5,5,very_good,male,45to54,married,no_degree,full_time,routine_manual
845,6,6,7,5,5,7,7,4,4,7,9,very_good,female,16to24,single,no_degree,part_time,routine_manual
24,7,5,7,5,8,6,6,8,5,5,8,good_to_bad,male,25to44,married,degree,full_time,managerial_professional
