ppt,life_sat,worthwhile,happy,anxious,relationship,physical_health,mental_wellbeing,financial,work,balance,local,health,gender,age_group,marital,education,employment,occupation,children
15,8,9,8,1,9,7,8,8,8,5,9,good_to_bad,male,45to54,single,no_degree,full_time,managerial_professional,no
640,8,8,8,1,10,8,8,8,9,3,9,very_good,male,45to54,married,degree,full_time,managerial_professional,yes
822,9,9,10,6,10,9,9,9,7,7,6,very_good,female,25to44,single,degree,full_time,managerial_professional,no
225,10,10,9,0,10,8,10,7,10,10,7,good_to_bad,female,25to44,single,no_degree,part_time,routine_manual,yes
606,6,6,5,5,8,5,6,5,8,10,8,good_to_bad,female,25to44,married,no_degree,part_time,routine_manual,yes
164,7,7,6,5,7,6,8,7,7,5,7,good_to_bad,male,55to64,married,degree,full_time,managerial_professional,no
71,7,6,7,3,7,2,3,5,5,9,4,good_to_bad,male,45to54,married,no_degree,full_time,managerial_professional,no
118,6,7,7,3,9,5,8,10,10,7,9,good_to_bad,female,25to44,single,no_degree,full_time,intermediate,no
645,8,8,8,0,8,8,8,8,8,8,9,good_to_bad,male,55to64,married,no_degree,full_time,intermediate,no
233,9,9,9,0,9,9,9,10,8,9,9,very_good,male,25to44,married,degree,full_time,managerial_professional,no
637,8,8,7,0,8,7,9,9,7,6,8,very_good,male,25to44,widowed_divorced_sep,degree,full_time,managerial_professional,no
234,8,10,8,0,10,8,10,10,9,4,10,good_to_bad,female,16to24,single,no_degree,full_time,intermediate,no
17,8,7,7,6,10,10,10,8,8,10,8,very_good,male,25to44,single,degree,full_time,managerial_professional,no
264,10,10,10,0,10,10,10,10,10,10,10,good_to_bad,male,55to64,widowed_divorced_sep,no_degree,full_time,routine_manual,no
875,7,6,3,10,10,5,4,7,7,6,8,good_to_bad,female,25to44,single,no_degree,full_time,managerial_professional,no
734,10,10,10,0,10,9,9,10,5,10,10,very_good,male,55to64,married,no_degree,full_time,intermediate,no
140,10,10,10,1,8,10,9,8,8,8,9,very_good,female,25to44,married,degree,part_time,routine_manual,yes
698,10,10,9,0,9,9,7,10,10,10,10,very_good,female,45to54,married,no_degree,part_time,routine_manual,no
954,8,7,9,5,10,8,10,10,6,8,9,very_good,male,45to54,married,no_degree,full_time,managerial_professional,no
713,7,8,6,9,7,6,8,5,6,6,8,good_to_bad,female,25to44,single,degree,full_time,managerial_professional,no
343,8,8,8,1,5,3,8,7,9,2,9,good_to_bad,male,25to44,married,no_degree,full_time,intermediate,yes
288,7,8,5,1,9,10,10,8,8,8,9,very_good,female,45to54,widowed_divorced_sep,no_degree,part_time,routine_manual,yes
825,7,8,7,0,8,10,10,6,7,6,6,very_good,female,25to44,married,no_degree,full_time,intermediate,yes
873,8,9,9,1,10,9,9,9,8,7,8,very_good,female,55to64,widowed_divorced_sep,no_degree,part_time,intermediate,no
426,6,5,7,6,10,6,4,4,7,6,10,good_to_bad,female,25to44,single,no_degree,part_time,routine_manual,yes
74,5,5,5,3,10,5,10,4,4,3,7,good_to_bad,male,16to24,single,no_degree,part_time,routine_manual,no
670,8,7,9,1,9,7,9,7,8,5,8,good_to_bad,female,55to64,married,degree,full_time,intermediate,no
310,8,9,4,8,10,6,7,9,4,4,9,good_to_bad,male,45to54,married,degree,full_time,managerial_professional,no
433,9,10,10,0,10,9,8,8,8,7,8,good_to_bad,male,55to64,married,degree,full_time,managerial_professional,no
