CASE,REF,DV01_01,DV01_02,DV01_03,DV01_04,DV01_05,DV01_06,DV01_07,DV01_08,DV01_09,DV01_10,DV01_11,DV01_12,DV01_13,DV01_14,DV02_01,DV02_02,DV02_03,DV02_04,DV02_05,DV02_06,DV03_01,DV04_01,DV04_02,DV04_03,DV04_04,DV04_05,DV04_06,DV04_07,DV04_08,DV04_09,DV04_10,DV04_11,DV04_12,MV01_01,MV01_02,MV01_03,MV01_04,MV01_05,MV01_06,MV01_07,MV01_08,MV01_09,MV01_10,MV01_11,MV01_12,MV01_13,MV01_14,occupational_status,academic_discipline,IV01_CP,condition,CV01_01,CV01_02,CV01_03,CV01_04,CV01_05,CV01_06,CV01_07,CV01_08,CV01_09,CV01_10,CV02_01,CV02_02,CV02_03,CV02_04,CV02_05,PES_exp,CV03_01,CV03_02,CV03_03,CV03_04,CV03_05,CV03_06,CV03_07,CV03_08,CV03_09,CV03_10,CV03_11,CV03_12,CV03_13,CV03_14,CV03_15,CV04,CV04_01,CV04_02,CV04_03,CV04_04,CV05,veganism,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME,longstring,expertise,integritybenevolence,METI,credibility,eval,att,neutr,PES_freq
22,NA,4,5,6,5,5,6,5,5,3,4,4,3,4,3,5,2,5,6,5,5,3,3,4,3,3,3,4,2,2,2,1,2,2,6,6,6,2,6,6,6,6,6,6,6,6,6,6,university student,humanities,2,not affected,2,3,3,3,4,5,5,4,4,4,3,2,3,3,3,3,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,2,1,1,2,vegan,39,12,36,105,42,NA,51,86,68,68,12,54,12,146,32,534,10,5.166666666666667,3.875,4.428571428571429,4.428571428571429,2.5833333333333335,5.714285714285714,2.75,2.8
32,fb,5,5,5,5,5,4,4,3,3,3,5,4,6,3,5,5,6,3,5,2,5,1,3,6,4,6,4,3,6,3,1,1,1,5,4,1,1,3,1,2,5,5,5,5,1,1,5,university student,natural_sciences,2,affected,2,6,5,4,4,6,6,3,6,5,5,3,3,4,3,7,2,2,2,1,1,2,1,2,1,1,2,2,1,1,1,2,2,2,1,1,1,not vegan,16,10,13,34,26,NA,54,37,63,68,9,105,23,136,29,432,5,4.833333333333333,3.875,4.285714285714286,4.428571428571429,3.25,3.142857142857143,4.25,3.6
34,NA,4,5,5,5,5,5,5,4,4,5,4,3,4,4,5,3,5,4,5,4,5,5,2,5,2,3,4,2,2,2,1,2,3,6,6,5,5,4,2,5,5,6,6,6,6,6,6,university student,social_sciences,3,not affected,4,4,4,4,3,5,5,3,5,5,2,4,2,4,4,10,1,2,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,1,1,2,vegan,19,6,3,31,30,37,30,22,35,46,7,32,9,88,14,282,6,4.833333333333333,4.125,4.428571428571429,4.428571428571429,2.75,5.285714285714286,4,3.2
39,NA,5,4,4,5,2,5,5,5,5,5,5,5,5,5,5,3,2,3,4,5,5,1,3,2,2,3,3,5,2,2,2,2,2,4,3,5,5,5,2,5,5,5,5,5,2,5,6,working_with_degree,life_sciences,4,not affected,5,5,4,4,3,4,5,4,5,5,3,4,4,5,4,6,1,2,2,1,2,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,2,not vegan,6,4,2,26,75,19,39,69,88,78,22,59,14,179,19,491,10,4.166666666666667,5,4.642857142857143,3.857142857142857,2.4166666666666665,4.428571428571429,4.5,4
40,NA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,5,6,5,5,6,2,1,4,3,3,3,1,3,1,1,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,university student,social_sciences,4,affected,5,4,5,5,3,5,6,2,6,3,3,3,3,4,3,3,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,not vegan,27,7,27,60,35,NA,35,50,79,51,12,47,26,111,11,422,15,6,6,6,5.285714285714286,2.3333333333333335,6,4.75,3.2
43,fb,6,6,6,6,5,6,5,5,5,5,5,6,6,5,5,4,5,4,4,5,5,2,2,4,2,3,2,3,3,2,2,3,2,4,4,5,5,4,2,5,5,2,2,4,1,3,5,university student,social_sciences,6,not affected,4,3,3,4,4,6,6,5,6,5,4,3,3,3,3,7,1,2,1,2,1,2,1,1,1,2,2,2,1,1,2,2,2,2,1,1,2,not vegan,21,10,36,48,23,NA,34,35,60,75,12,82,12,119,29,417,5,5.833333333333333,5.25,5.5,4.571428571428571,2.5,3.642857142857143,3.5,3.2
52,NA,4,4,5,5,4,5,4,6,5,5,4,5,5,4,4,3,4,2,2,6,5,2,4,5,5,4,3,5,5,4,4,2,3,5,2,4,3,2,2,4,5,4,2,3,1,2,5,university student,natural_sciences,7,affected,2,2,3,4,2,5,5,3,5,3,4,4,4,4,4,11,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,2,2,2,1,1,1,not vegan,38,5,20,45,24,NA,50,69,88,96,14,188,14,152,27,608,6,4.5,4.75,4.642857142857143,3.7142857142857144,3.8333333333333335,3.142857142857143,2.75,4
54,fb,5,5,5,5,5,4,4,4,4,4,5,5,4,5,4,4,5,4,3,4,4,2,3,3,2,4,3,3,4,3,3,2,2,6,6,5,6,6,4,6,6,6,6,6,6,6,4,working_with_degree,social_sciences,8,affected,5,4,4,5,4,4,5,3,5,5,3,2,3,3,4,4,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,1,1,1,vegan,610,6,3,45,63,108,66,41,120,163,133,17,11,91,15,770,7,4.833333333333333,4.375,4.571428571428571,4,2.8333333333333335,5.642857142857143,4.5,3
55,NA,6,6,6,5,6,6,4,5,4,4,6,6,6,6,6,3,6,5,6,6,6,1,3,2,1,1,1,3,5,3,1,1,1,6,4,5,5,6,1,5,6,5,5,2,5,3,6,university student,humanities,7,not affected,5,6,6,6,2,6,6,4,6,4,4,2,2,3,3,7,1,2,2,1,2,2,1,1,1,2,2,1,1,1,2,2,2,2,1,1,2,not vegan,14,5,4,64,44,19,43,33,60,114,9,48,11,96,5,449,5,5.833333333333333,5.125,5.428571428571429,5.428571428571429,1.9166666666666667,4.571428571428571,5.75,2.8
58,fb,5,5,5,4,4,4,4,5,4,4,4,5,4,5,3,3,3,3,5,3,5,2,2,4,2,5,3,4,5,3,3,2,3,2,2,2,2,3,3,3,4,2,1,4,1,1,1,university student,engineering_sciences,9,affected,4,4,5,5,3,5,5,3,5,4,3,2,2,3,3,11,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,1,1,1,not vegan,27,6,45,95,53,NA,109,76,109,109,12,90,14,180,35,712,5,4.5,4.375,4.428571428571429,3.5714285714285716,3.1666666666666665,2.2142857142857144,4.5,2.6
